Id,highlighted,text,ru_trans,tags,prefix,suffix,highlighted_html,suffix_html,position_start,position_end,start_container,end_container,chapter,ch_num,lang,overlap,img_src,alt_text_eng,dog_sound
js66SO9cEe2il-vJ1nnm6w,Это Петр,"For a detailed analysis of this chapter's opening scene and its connections to the novel's meta levels, see Mariya Donska's ""Poisk bukv.""","Подробный анализ первой сцены этой главы и ее связей с метауровнями романа см. в статье М. Донской ""Поиск букв"".",['explanatory'],"4. Заитильщина Дзындзырэлы
  
  ",", грамотей один слободской, пове",Это Петр,", грамотей один слободской, пове",651,659,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1],04. Заитильщина Дзындзырэлы,04,ru,partial,[],[],False
9bFoDsGWEeyAvashHwkiCA,за числами не уследишь,"Typical sample of Sokolov's non-linear conception of time. See, for instance, Borden’s “Time Backward!” and Sokolov’s *School for Fools* and *Palisandria*.","Классический пример нелинеарного восприятия времени (см., например, R.C. Borden, Time, backward!: Sasha Sokolov and Valentin Kataev, и *Школа для дураков* и *Палисандрия* Соколова)","['time', 'self-reference', 'intertextuality']","1. Заитильщина
  
  Месяц ясен, ",", год нынешний. Гражданину 
Сидо",за числами не уследишь,", год нынешний. Гражданину 
Сидо",651,673,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01,ru,none,[],[],False
Fk3LFmRcEe6WBR93LmIM7w,Pozhilykh,"An unusual surname that does not permit standard declination. It literally means Elderly. Ostanin suggests a connection to Boris Pasternak's novel *Doctor Zhivago* by means of the root ""zhiv"" (to live) (10). Read the original [here](http://www.vehi.net/pasternak/). Likewise, he notes that Alexander Pushkin considered including a story entitled ""Notes of an Elderly Person"" in his cycle of short stories, *The Tales of Belkin*. Read the original [here](https://ilibrary.ru/text/89/index.html) and an English translation [here](https://www.gutenberg.org/cache/epub/55219/pg55219-images.html). As Martina Napolitano observes, “Pozhilykh, Ilya’s addressee, is once ‘transfigured’ into an alleged Resurrection painting whose title plays on the ambiguity of his last name – *Voskresenie Pozhilykh*, *The Resurrection of the Elderly*. Ilya indeed concludes his letter wishing Pozhilykh “a happy resurrection”: this is his final message, his “good news.” It literally is his Gospel, from the Greek εὐαγγέλιον (*good news*);  in the original, Ilya here distorts the canonical *blagaia vest’* in ‘blagoe izvestie’” (“Studyin” 286).",,"['character', 'intertextuality', 'religion']",". The Last Remarks
  
  Citizen ",". After the end of days, at azur",Pozhilykh,". After the end of days, at azur",652,661,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],17. The Last Remarks,17,en,none,[],[],False
Xsut_GRUEe6cHN8H7GzAhA,We’ve gathered closer to discuss,A continuation of the end of chapter 10.,,['intratextuality'],". Discords Beyond the Itil
  
  "," what happened 
but the orchestr",We’ve gathered closer to discuss," what happened 
but the orchestr",652,684,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Discords Beyond the Itil,12,en,none,[],[],False
nfo4_NNoEe-gP-_iPIP2Kg,"The moonth’s clear, no catchin up with the dates","In a letter to his publisher Carl Proffer dated March 23, 1979, Sokolov wrote to say that he had decided keep the novel's title as *Between Dog and Wolf* (Box 1, Folder 5, Sasha Sokolov Collection, UC Santa Barbara Special Research Collections).",,['archive'],". Discords Beyond the Itil
  
  ",", the 
year’s current. To Citize","The moonth’s clear, no catchin up with the dates",", the 
year’s current. To Citize",652,700,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[6]/hypothesis-highlight[1],01. DISCORDS BEYOND THE ITIL,01,en,full,[],[],False
f88ghEwqEe63d1sYlfmXuA,"The moonth’s clear, no catchin up with the dates, the 
year’s current. To Citizen Sidor Fomich Pozhilykh, 
with all due respect, Ilya Petrikeich Zynzyrela’s Discords Beyond the Itil","Alexey Salomatin and Artem Skvortsov identify this opening line as a reference to the apocryphal ""Correspondence between the Turkish Sultan and the Cossacks"" (248). Read the original letter [here](https://ru.wikisource.org/wiki/%D0%9F%D0%B8%D1%81%D1%8C%D0%BC%D0%BE_%D0%B7%D0%B0%D0%BF%D0%BE%D1%80%D0%BE%D0%B6%D1%86%D0%B5%D0%B2_%D1%82%D1%83%D1%80%D0%B5%D1%86%D0%BA%D0%BE%D0%BC%D1%83_%D1%81%D1%83%D0%BB%D1%82%D0%B0%D0%BD%D1%83). They note that the novel's opening begins with a reference to the letter's *ending*.",,['intertextuality'],". Discords Beyond the Itil
  
  ",". With Your permission, I commen","The moonth’s clear, no catchin up with the dates, the 
year’s current. To Citizen Sidor Fomich Pozhilykh, 
with all due respect, Ilya Petrikeich Zynzyrela’s <em>Discords Beyond the Itil","</em>. With Your permission, I c",652,833,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1]/em[1]/hypothesis-highlight[1]/hypothesis-highlight[1],01. DISCORDS BEYOND THE ITIL,01,en,partial,[],[],False
7Qo7Mk5DEe6xruPqIyxvYQ,Note I,"Sokolov once described the process of writing *Between Dog and Wolf* as follows: ""because I had little time, I wrote, primarily, poems. I couldn't write prose. It requires a long 'entrance.' It simply requires continues life, somehow constant. But you can write poets in a train, anywhere you want ... And therefore I also wrote a lot of poems for this book in Switzerland. And in Austria. In Austria I could write every evening but poems. Because when you return home from the forest at nine with axe, with a pitchfork or a saw in your hands, there's simply no talk about prose. Therefore, that's probably *Sobaka's* form is so unusual, why poems and prose are interspersed"" (Polovets 8).",,['structure']," Notes of a Binging Hunter
  
  ","

Impression


  Look around! Co",Note I,"</h2>

",653,659,/div[1]/main[1]/article[1]/h2[1],/div[1]/main[1]/article[1]/h2[1],03. Notes of a Binging Hunter,03,en,none,[],[],False
5fXPvoAMEe6Qqd9XSFEWgw,Portrait,"The prose chapters that feature Yakov are replete with ekphrastic descriptions of paintings. This poem, and others, echo that practice.",,['intratextuality']," Again the Notes
  
  Note XIX

"," of a Familiar Warden


  March ",Portrait," of a Familiar Warden</h3>

",653,661,/div[1]/main[1]/article[1]/h3[1],/div[1]/main[1]/article[1]/h3[1],11. Again the Notes,11,en,none,[],[],False
hmLMRJAiEe2ItMMYtUhwcA,мичманка,The peaked hat of a sailor. Clothing motif.,Форменная фуражка с козырьком для командного состава флота. Мотив одежды.,['motif']," От Ильи Петрикеича
  
  Клеши, "," с  крабом, бушлат в  якорях  — ",мичманка," с  крабом, бушлат в  якорях  — ",653,661,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],14. От Ильи Петрикеича,14,ru,none,['https://upload.wikimedia.org/wikipedia/commons/8/84/US_Navy_091007-N-8273J-012_Hats_from_representatives_of_more_than_100_nations_attending_the_19th_Biennial_International_Sea_Power_Symposium_in_Newport%2C_R.I._are_on_a_table_near_the_auditorium.jpg'],[''],False
6WpR9oAMEe6uBt-0Zj7zJg,Портрет,"The prose chapters that feature Yakov are replete with ekphrastic descriptions of paintings. This poem, and others, echo that practice.","Прозаические главы, в которых рассказывается о Якове, изобилуют экфрастическими описаниями картин. Это стихотворение, как и последующие, следуют тому же примеру.",['intratextuality'],"Опять записки
  
  Записка XIX

"," знакомого егеря


  Март хрустя",Портрет," знакомого егеря</h3>

",654,661,/div[1]/main[1]/article[1]/h3[1],/div[1]/main[1]/article[1]/h3[1],11. Опять записки,11,ru,none,[],[],False
